,x,y,weights
304,113584.58420000039,10060244.8607,1
305,112768.73929999955,10060623.7886,1
306,115726.34640000015,10062773.5364,1
307,115722.65660000034,10062806.1723,1
308,115716.44259999972,10063048.2969,1
309,115303.1255,10063053.5451,1
310,115569.1509999996,10063081.2821,1
311,115500.81989999954,10063123.9575,1
312,115500.82870000042,10063138.6953,1
313,115831.49100000039,10063149.8133,1
314,115659.81219999958,10063162.5488,1
315,114820.01690000016,10063319.644,1
316,115177.71810000017,10063350.4831,1
317,112350.40070000011,10061127.2398,1
318,112374.30709999986,10061229.8676,1
319,112573.38260000013,10060935.5115,1
320,112656.94049999956,10061551.3116,1
321,112713.13300000038,10060683.3003,1
322,112735.43259999994,10061661.2758,1
323,112744.4199,10060721.1805,1
324,112753.83150000032,10061410.1884,1
325,112757.14340000041,10060730.6477,1
326,112765.06940000039,10060691.692,1
327,112767.8060999997,10061743.8961,1
328,112831.34310000017,10060751.1328,1
329,112856.21140000038,10060686.3754,1
330,112871.5569000002,10060648.4681,1
331,113151.89290000033,10060669.8863,1
332,113158.8788,10060836.7397,1
333,113171.608,10060856.2078,1
334,113185.9819,10060969.8941,1
335,113215.09719999973,10060918.8198,1
336,113279.9934,10062237.848,1
337,113285.51460000034,10060814.5588,1
338,113302.36479999963,10062431.0097,1
339,113308.70550000016,10062400.4769,1
340,113311.3218,10062344.6809,1
341,113343.6014,10062269.3919,1
342,113513.3041000003,10060690.7311,1
343,113593.79129999969,10061497.0709,1
344,113604.99220000021,10060714.3642,1
345,113634.22979999986,10060873.8349,1
346,113666.23330000043,10062130.7669,1
347,113698.23749999981,10060682.202,1
348,113704.3507000003,10062070.2128,1
349,113713.40189999994,10062142.3189,1
350,113722.41530000046,10062150.7353,1
351,113725.02460000012,10062082.8332,1
352,113735.49289999995,10060960.6256,1
353,113745.02359999996,10060947.461,1
354,113751.12420000043,10062308.6263,1
355,113754.00200000033,10060895.8724,1
356,113294.30879999977,10062250.9986,1
357,113274.7134999996,10062269.9593,1
358,113283.1858,10062259.427,1
359,113265.7081000004,10062275.2283,1
360,113249.8586,10062355.2448,1
361,113530.6481999997,10062250.8579,1
362,113493.55680000037,10062254.5645,1
363,113463.29279999994,10062155.1001,1
364,113059.35979999974,10061916.3711,1
365,112869.62650000025,10061874.3744,1
366,112998.77280000038,10061616.9057,1
367,112778.32600000035,10061611.2457,1
368,112663.88279999979,10061641.8425,1
369,116425.10209999979,10060663.52,1
370,116520.4835,10060663.9914,1
371,116566.58820000011,10060670.8074,1
372,116417.69060000032,10060675.6302,1
373,116640.7781999996,10060679.1863,1
374,116456.37590000033,10060680.8714,1
375,116374.78089999966,10060696.1825,1
376,116545.94539999962,10060710.8217,1
377,116545.44579999987,10060763.4567,1
378,116677.93259999994,10060786.5396,1
379,116632.3778,10060814.4623,1
380,116672.13080000039,10060833.3878,1
381,116689.64010000043,10060872.8537,1
382,116505.76809999999,10060875.0653,1
383,116517.42640000023,10060876.1112,1
384,116593.20210000034,10060877.6465,1
385,116560.881,10060881.876,1
386,116595.8799,10060926.5952,1
387,116620.79339999985,10060941.3186,1
388,116379.16339999996,10060944.6163,1
389,116582.64809999987,10060953.4466,1
390,116615.5036000004,10060957.112,1
391,116593.78440000024,10060968.1779,1
392,116519.08700000029,10060998.7492,1
393,116510.61110000033,10061002.9649,1
394,116525.4539,10061012.9569,1
395,116495.78409999982,10061020.3429,1
396,116488.91100000031,10061047.1906,1
397,116390.88360000029,10061052.5109,1
398,116701.40390000027,10061056.5418,1
399,116681.27130000014,10061062.3433,1
400,116468.27049999963,10061090.8894,1
401,116624.61689999979,10061138.6964,1
402,116659.06120000035,10061140.7818,1
403,116573.23560000025,10061170.307,1
404,116608.2137000002,10061179.2346,1
405,116596.03139999975,10061188.1896,1
406,116565.8350999998,10061201.3658,1
407,116591.28589999955,10061228.721,1
408,116375.66909999959,10061315.1673,1
409,116354.47759999987,10061322.5485,1
410,116356.07100000046,10061328.8638,1
411,116120.82359999977,10061373.7404,1
412,116027.04420000035,10061394.8491,1
413,116120.83669999987,10061396.3734,1
414,116257.55379999988,10061403.1363,1
415,116289.35049999971,10061408.3812,1
416,116282.99700000044,10061417.3328,1
417,116121.95150000043,10061490.5892,1
418,116383.71470000036,10063272.1208,1
419,116354.61610000022,10063347.9322,1
420,116194.60219999962,10063371.1877,1
421,116220.0859000003,10063452.2298,1
422,116407.68010000046,10063472.1179,1
423,116229.18769999966,10063607.4966,1
424,116207.46239999961,10063608.0361,1
425,116270.7319,10063079.5457,1
426,116712.369,10060774.9401,1
427,116694.80510000046,10059711.7292,1
428,116511.46470000036,10059717.6229,1
429,116172.87040000036,10059734.1316,1
430,116228.5175999999,10059748.3115,1
431,116413.46449999977,10059771.366,1
432,116561.30649999995,10059773.3875,1
433,116581.44610000029,10059779.6923,1
434,116370.02170000039,10059786.6547,1
435,116207.87530000042,10059789.9049,1
436,116471.24280000012,10059806.0722,1
437,116457.99749999959,10059809.7642,1
438,116089.72319999989,10059816.2895,1
439,116690.09570000041,10059817.0014,1
440,116183.5263,10059836.2375,1
441,116169.22269999981,10059842.5618,1
442,116570.89630000014,10059864.4403,1
443,116474.99480000045,10059881.3379,1
444,116170.3103,10059891.5117,1
445,116459.6350999996,10059893.979,1
446,116063.28249999974,10059911.5739,1
447,116195.2313000001,10059919.3941,1
448,116079.1842,10059919.9865,1
449,116075.48149999976,10059931.5683,1
450,116061.70480000041,10059932.6288,1
451,116213.78550000023,10059933.0686,1
452,116541.27089999989,10059950.2519,1
